coverage_id|coverage_name|line_of_business|coverage_type|min_limit|max_limit|min_deductible|max_deductible|effective_date|is_active|duck_creek_coverage_code|created_date|modified_date
COV038|Custom Parts Equipment|Auto|Physical Damage|1000|5000|500|500|2020-01-01|1|DC_COV038|2020-01-01|2020-01-01
COV039|Sound System Coverage|Auto|Physical Damage|500|2000|250|250|2020-01-01|1|DC_COV039|2020-01-01|2020-01-01
COV040|Pet Injury Coverage|Auto|Additional|1000|1000|0|0|2020-01-01|1|DC_COV040|2020-01-01|2020-01-01
COV041|Flood Homeowners|Homeowners|Flood|20000|250000|1000|5000|2020-01-01|1|DC_COV041|2020-01-01|2020-01-01
COV042|Earthquake|Homeowners|Earthquake|10000|500000|2500|10000|2020-01-01|1|DC_COV042|2020-01-01|2020-01-01
COV043|Ordinance or Law|Homeowners|Additional|10000|100000|500|2000|2020-01-01|1|DC_COV043|2020-01-01|2020-01-01
COV044|Umbrella Personal|Homeowners|Umbrella|1000000|5000000|0|0|2020-01-01|1|DC_COV044|2020-01-01|2020-01-01
COV045|Jewelry and Furs|Homeowners|Inland Marine|5000|50000|250|500|2020-01-01|1|DC_COV045|2020-01-01|2020-01-01
COV046|Hired Auto Liability|Commercial|Auto|100000|1000000|1000|5000|2020-01-01|1|DC_COV046|2020-01-01|2020-01-01
COV047|Non-Owned Auto Liability|Commercial|Auto|100000|1000000|0|0|2020-01-01|1|DC_COV047|2020-01-01|2020-01-01
COV048|Contractors Equipment|Commercial|Inland Marine|25000|500000|1000|5000|2020-01-01|1|DC_COV048|2020-01-01|2020-01-01
COV049|Pollution Liability|Commercial|Pollution|250000|5000000|10000|50000|2020-01-01|1|DC_COV049|2020-01-01|2020-01-01
COV050|Product Liability|Commercial|Liability|500000|5000000|5000|25000|2020-01-01|1|DC_COV050|2020-01-01|2024-10-25
